time [s],a_c [km],e_c [-],i_c [deg],RAAN_c [deg],ARGP_c [deg],TA_c [deg],a_d [km],e_d [-],i_d [deg],RAAN_d [deg],ARGP_d [deg],TA_d [deg],delta_a [km],delta_e [-],delta_i [deg],delta_RAAN [deg],delta_ARGP [deg],delta_TA [deg]
4953.0,8499.999999999853,0.19999999999997278,52.99999999999978,55.00000000000009,40.00000000000526,-145.96544091848835,8503.703557745313,0.20161435088004634,53.11993251498001,55.076725246423614,40.05216482398508,-146.22885947056818,-3.7035577454607846,-0.0016143508800735562,-0.11993251498022772,-0.0767252464235213,-0.05216482397982247,0.2634185520798269
4954.0,8499.99999999985,0.19999999999997287,52.99999999999978,55.00000000000009,40.00000000000533,-145.93128280747095,8503.703614615888,0.20161434335065478,53.11993244085019,55.07672492659573,40.05216402258267,-146.19483984587245,-3.7036146160371572,-0.0016143433506819183,-0.11993244085041255,-0.07672492659563801,-0.05216402257734387,0.26355703840150113
4955.0,8499.999999999853,0.19999999999997284,52.99999999999978,55.00000000000009,40.000000000005265,-145.89711922640336,8503.703671920728,0.20161433576393004,53.11993236628867,55.07672460418925,40.05216321437283,-146.16081476854814,-3.703671920875422,-0.0016143357639571976,-0.11993236628889292,-0.0767246041891596,-0.052163214367567434,0.26369554214477375
4956.0,8499.999999999853,0.1999999999999729,52.99999999999978,55.00000000000009,40.00000000000533,-145.86295016914806,8503.703729662595,0.20161432811950694,53.119932291293985,55.07672427918645,40.05216239930623,-146.1267842323979,-3.703729662742262,-0.0016143281195340475,-0.11993229129420513,-0.07672427918635805,-0.05216239930090438,0.2638340632498455
4957.0,8499.999999999847,0.19999999999997278,52.99999999999978,55.00000000000009,40.00000000000531,-145.8287756295642,8503.703787844275,0.20161432041701796,53.11993221586465,55.07672395156946,40.05216157733307,-146.09274823122132,-3.703787844428007,-0.0016143204170451786,-0.11993221586487124,-0.07672395156937029,-0.052161577327758835,0.263972601657116
4958.0,8499.999999999849,0.19999999999997278,52.99999999999978,55.00000000000009,40.000000000005286,-145.79459560150852,8503.703846468552,0.20161431265609409,53.11993213999919,55.07672362132034,40.05216074840346,-146.05870675881474,-3.7038464687029773,-0.0016143126561213028,-0.11993213999941332,-0.07672362132024801,-0.05216074839817253,0.2641111573062176
4959.0,8499.99999999985,0.1999999999999728,52.99999999999978,55.00000000000009,40.0000000000053,-145.76041007883504,8503.703905538232,0.20161430483636503,53.11993206369617,55.076723288421015,40.05215991246719,-146.02465980897185,-3.70390553838115,-0.0016143048363922163,-0.11993206369638898,-0.07672328842092213,-0.05215991246188878,0.26424973013681097
4960.0,8499.99999999985,0.19999999999997284,52.99999999999978,55.00000000000009,40.0000000000053,-145.72621905539486,8503.703965056135,0.20161429695745736,53.11993198695413,55.07672295285336,40.052159069473575,-145.99060737548248,-3.703965056283778,-0.0016142969574845234,-0.1199319869543487,-0.07672295285326669,-0.05215906946827431,0.2643883200876189
4961.0,8499.99999999985,0.1999999999999728,52.99999999999978,55.0000000000001,40.0000000000053,-145.69202252503646,8503.704025025088,0.2016142890189971,53.11993190977161,55.0767226145991,40.05215821937187,-145.95654945213397,-3.70402502523757,-0.0016142890190243009,-0.11993190977182877,-0.07672261459899943,-0.05215821936656795,0.26452692709750636
4962.0,8499.999999999853,0.19999999999997278,52.99999999999978,55.0000000000001,40.00000000000528,-145.65782048160565,8503.704085447947,0.20161428102060777,53.119931832147174,55.0767222736399,40.052157362110854,-145.92248603271022,-3.704085448094702,-0.001614281020634989,-0.11993183214739389,-0.07672227363980255,-0.05215736210557509,0.2646655511045708
4963.0,8499.999999999847,0.1999999999999729,52.99999999999978,55.0000000000001,40.00000000000531,-145.6236129189454,8503.70414632756,0.20161427296191134,53.11993175407937,55.07672192995727,40.05215649763915,-145.88841711099212,-3.704146327712806,-0.0016142729619384455,-0.11993175407958745,-0.07672192995717353,-0.05215649763384533,0.2648041920467108
4964.0,8499.999999999849,0.19999999999997303,52.99999999999979,55.0000000000001,40.00000000000533,-145.58939983089593,8503.704207666806,0.20161426484252765,53.11993167556676,55.076721583532695,40.05215562590503,-145.8543426807574,-3.7042076669567905,-0.0016142648425546136,-0.11993167556697415,-0.07672158353259562,-0.05215562589970091,0.26494284986148386
4965.0,8499.999999999849,0.1999999999999728,52.99999999999979,55.0000000000001,40.0000000000053,-145.55518121129472,8503.704269468572,0.20161425666207486,53.11993159660791,55.0767212343475,40.052154746856395,-145.82026273578066,-3.7042694687224866,-0.0016142566621020482,-0.1199315966081258,-0.07672123434740286,-0.05215474685109456,0.2650815244859359
4966.0,8499.99999999985,0.19999999999997264,52.99999999999978,55.0000000000001,40.00000000000526,-145.52095705397647,8503.704331735758,0.20161424842016915,53.1199315172014,55.07672088238291,40.052153860441024,-145.78617726983322,-3.7043317359075445,-0.0016142484201965013,-0.11993151720162132,-0.0767208823828085,-0.052153860435765864,0.2652202158567434
4967.0,8499.99999999985,0.199999999999973,52.99999999999978,55.0000000000001,40.00000000000533,-145.48672735277344,8503.704394471277,0.20161424011642506,53.11993143734582,55.076720527620076,40.052152966606116,-145.75208627668346,-3.704394471425985,-0.0016142401164520592,-0.11993143734603962,-0.07672052761997605,-0.0521529666007865,0.26535892391001425
4968.0,8499.999999999849,0.19999999999997292,52.99999999999978,55.0000000000001,40.000000000005286,-145.45249210151454,8503.704457678057,0.20161423175045493,53.11993135703972,55.076720170040026,40.052152065298905,-145.71798975009656,-3.7044576782082004,-0.0016142317504820036,-0.11993135703993829,-0.07672017003992693,-0.05215206529361893,0.26549764858202707
4969.0,8499.999999999847,0.19999999999997295,52.99999999999978,55.0000000000001,40.000000000005336,-145.41825129402648,8503.704521359045,0.2016142233218695,53.11993127628172,55.07671980962368,40.052151156466095,-145.68388768383443,-3.704521359197315,-0.001614223321896563,-0.11993127628193889,-0.07671980962358305,-0.052151156460759296,0.2656363898079519
4970.0,8499.99999999985,0.19999999999997295,52.99999999999978,55.0000000000001,40.00000000000533,-145.38400492413294,8503.704585517193,0.2016142148302776,53.11993119507038,55.076719446351866,40.0521502400541,-145.64978007165587,-3.7045855173419113,-0.001614214830304661,-0.11993119507059902,-0.07671944635176686,-0.05215024004876767,0.2657751475229304
4971.0,8499.999999999845,0.19999999999997303,52.99999999999977,55.0000000000001,40.00000000000535,-145.34975298565487,8503.704650155469,0.201614206275286,53.119931113404334,55.07671908020532,40.052149316009086,-145.61566690731658,-3.7046501556233125,-0.0016142062753129738,-0.11993111340456153,-0.07671908020522267,-0.05214931600373518,0.26591392166170635
4972.0,8499.999999999849,0.19999999999997295,52.99999999999977,55.0000000000001,40.00000000000531,-145.3154954724104,8503.704715276863,0.20161419765649966,53.119931031282185,55.07671871116464,40.05214838427694,-145.5815481845691,-3.7047152770137473,-0.0016141976565267058,-0.11993103128241245,-0.07671871116453843,-0.05214838427163215,0.26605271215871085
4973.0,8499.999999999847,0.19999999999997292,52.99999999999978,55.0000000000001,40.0000000000053,-145.2812323782151,8503.704780884373,0.20161418897352168,53.119930948702525,55.07671833921032,40.052147444803154,-145.54742389716267,-3.704780884525462,-0.001614188973548758,-0.1199309487027449,-0.07671833921022397,-0.05214744479785338,0.2661915189475792
4974.0,8499.99999999985,0.19999999999997317,52.99999999999977,55.0000000000001,40.00000000000535,-145.2469636968816,8503.704846981005,0.20161418022595326,53.119930865663974,55.07671796432279,40.052146497533016,-145.51329403884347,-3.7048469811543328,-0.0016141802259800886,-0.11993086566420175,-0.07671796432268962,-0.05214649752766576,0.26633034196186145
4975.0,8499.999999999845,0.19999999999997303,52.99999999999978,55.0000000000001,40.000000000005336,-145.21268942221974,8503.704913569794,0.2016141714133935,53.11993078216516,55.076717586482346,40.052145542411395,-145.47915860335448,-3.7049135699489852,-0.0016141714134204621,-0.11993078216538322,-0.07671758648224625,-0.052145542406059064,0.26646918113473816
4976.0,8499.999999999849,0.19999999999997303,52.99999999999978,55.0000000000001,40.000000000005336,-145.17840954803668,8503.704980653776,0.20161416253544,53.119930698204705,55.07671720566917,40.052144579382954,-145.4450175844355,-3.704980653927123,-0.0016141625354669786,-0.11993069820492508,-0.0767172056690697,-0.05214457937761807,0.26660803639882147
4977.0,8499.999999999847,0.19999999999997292,52.99999999999978,55.0000000000001,40.000000000005336,-145.1441240681368,8503.70504823601,0.20161415359168797,53.119930613781264,55.07671682186333,40.05214360839188,-145.41087097582303,-3.7050482361628383,-0.0016141535917150451,-0.1199306137814844,-0.07671682186322926,-0.05214360838654386,0.2667469076862403
4978.0,8499.999999999847,0.19999999999997292,52.99999999999977,55.00000000000009,40.000000000005336,-145.10983297632163,8503.705116319557,0.20161414458173108,53.119930528893455,55.07671643504482,40.05214262938232,-145.3767187712506,-3.705116319710214,-0.0016141445817581535,-0.11993052889368272,-0.07671643504473025,-0.052142629376980665,0.26688579492898157
4979.0,8499.999999999847,0.19999999999997295,52.99999999999977,55.0000000000001,40.00000000000537,-145.07553626638997,8503.705184907509,0.20161413550516058,53.11993044353996,55.07671604519351,40.05214164229781,-145.34256096444832,-3.7051849076615326,-0.0016141355051876305,-0.11993044354018423,-0.07671604519340747,-0.05214164229244034,0.26702469805834994
4980.0,8499.999999999845,0.19999999999997314,52.99999999999977,55.0000000000001,40.000000000005365,-145.04123393213774,8503.705254002954,0.20161412636156653,53.119930357719404,55.076715652289145,40.05214064708181,-145.30839754914336,-3.7052540031090757,-0.0016141263615933876,-0.11993035771963179,-0.07671565228904598,-0.05214064707644894,0.26716361700562175
4981.0,8499.999999999845,0.19999999999997303,52.99999999999977,55.00000000000009,40.00000000000537,-145.00692596735828,8503.705323609012,0.20161411715053645,53.119930271430455,55.076715256311395,40.05213964367731,-145.27422851905936,-3.7053236091669532,-0.001614117150563421,-0.11993027143068247,-0.07671525631130294,-0.05213964367193569,0.26730255170107853
4982.0,8499.99999999985,0.19999999999997303,52.99999999999977,55.00000000000009,40.00000000000537,-144.97261236584194,8503.705393728811,0.2016141078716559,53.11993018467179,55.07671485723979,40.05213863202702,-145.24005386791706,-3.705393728960189,-0.0016141078716828683,-0.11993018467201466,-0.0767148572397005,-0.05213863202164504,0.2674415020751155
4983.0,8499.999999999845,0.19999999999997317,52.99999999999977,55.00000000000009,40.00000000000543,-144.9382931213764,8503.705464365488,0.20161409852450848,53.11993009744209,55.07671445505378,40.05213761207329,-145.2058735894336,-3.7054643656429107,-0.0016140985245353123,-0.11993009744231387,-0.07671445505368979,-0.05213761206785961,0.26758046805719005
4984.0,8499.999999999845,0.199999999999973,52.99999999999977,55.000000000000085,40.00000000000541,-144.90396822774642,8503.7055355222,0.2016140891086765,53.11993000974003,55.076714049732665,40.05213658375829,-145.17168767732338,-3.705535522354694,-0.0016140891087035036,-0.11993000974025847,-0.07671404973257978,-0.052136583752883325,0.26771944957695837
4985.0,8499.999999999847,0.1999999999999731,52.99999999999977,55.00000000000009,40.000000000005386,-144.86963767873402,8503.705607202117,0.2016140796237393,53.1199299215643,55.07671364125566,40.052135547023774,-145.1374961252973,-3.7056072022696753,-0.0016140796237662236,-0.11992992156452686,-0.07671364125556579,-0.05213554701838774,0.26785844656328095
4986.0,8499.999999999845,0.19999999999997317,52.99999999999977,55.00000000000009,40.00000000000544,-144.83530146811864,8503.70567940842,0.20161407006927518,53.119929832913606,55.07671322960189,40.052134501811175,-145.10329892706312,-3.705679408574724,-0.0016140700693020038,-0.11992983291383297,-0.07671322960180049,-0.05213450180573176,0.26799745894447824
4987.0,8499.999999999844,0.19999999999997314,52.999999999999766,55.00000000000008,40.00000000000544,-144.8009595896765,8503.70575214431,0.20161406044485994,53.11992974378664,55.07671281475032,40.05213344806154,-145.06909607632525,-3.705752144465805,-0.0016140604448867946,-0.11992974378687649,-0.07671281475024472,-0.052133448056096654,0.268136486648757
