time [s],ax [km/s^2],ay [km/s^2],az [km/s^2],dvx [km/s],dvy [km/s],dvz [km/s],sum_dvx [km/s],sum_dvy [km/s],sum_dvz [km/s]
104.0,-7.192876824050424e-14,8.324622946137395e-16,0.0,-7.192876824050424e-14,8.324622946137395e-16,0.0,-1.8466822889323835e-11,4.455276688261863e-14,0.0
105.0,-7.506345968514016e-14,8.77034411817206e-16,0.0,-7.506345968514016e-14,8.77034411817206e-16,0.0,-1.8541886349008976e-11,4.542980129443584e-14,0.0
106.0,-7.84742072760858e-14,9.25553279910413e-16,0.0,-7.84742072760858e-14,9.25553279910413e-16,0.0,-1.8620360556285063e-11,4.635535457434625e-14,0.0
107.0,-8.217907551002064e-14,9.783251773408924e-16,0.0,-8.217907551002064e-14,9.783251773408924e-16,0.0,-1.8702539631795084e-11,4.733367975168714e-14,0.0
108.0,-8.619717111601916e-14,1.0356768418176877e-15,0.0,-8.619717111601916e-14,1.0356768418176877e-15,0.0,-1.8788736802911102e-11,4.836935659350483e-14,0.0
109.0,-9.054869062286583e-14,1.0979566174469138e-15,0.0,-9.054869062286583e-14,1.0979566174469138e-15,0.0,-1.887928549353397e-11,4.9467313210951744e-14,0.0
110.0,-9.52549696378463e-14,1.165535653888697e-15,0.0,-9.52549696378463e-14,1.165535653888697e-15,0.0,-1.8974540463171816e-11,5.063284886484044e-14,0.0
111.0,-1.0033853387829194e-13,1.2388091593550298e-15,0.0,-1.0033853387829194e-13,1.2388091593550298e-15,0.0,-1.907487899705011e-11,5.187165802419547e-14,0.0
112.0,-1.0582315199345132e-13,1.3181977091124362e-15,0.0,-1.0582315199345132e-13,1.3181977091124362e-15,0.0,-1.918070214904356e-11,5.3189855733307906e-14,0.0
113.0,-1.1173389021913852e-13,1.4041486114429662e-15,0.0,-1.1173389021913852e-13,1.4041486114429662e-15,0.0,-1.92924360392627e-11,5.459400434475087e-14,0.0
114.0,-1.1809716890975287e-13,1.4971373331200604e-15,0.0,-1.1809716890975287e-13,1.4971373331200604e-15,0.0,-1.9410533208172452e-11,5.6091141677870934e-14,0.0
115.0,-1.2494082098313309e-13,1.5976689859881796e-15,0.0,-1.2494082098313309e-13,1.5976689859881796e-15,0.0,-1.9535474029155586e-11,5.768881066385911e-14,0.0
116.0,-1.3229415232786036e-13,1.7062798769545218e-15,0.0,-1.3229415232786036e-13,1.7062798769545218e-15,0.0,-1.9667768181483445e-11,5.939509054081363e-14,0.0
117.0,-1.401880042136167e-13,1.823539123473433e-15,0.0,-1.401880042136167e-13,1.823539123473433e-15,0.0,-1.9807956185697062e-11,6.121862966428706e-14,0.0
118.0,-1.4865481774424264e-13,1.950050336109964e-15,0.0,-1.4865481774424264e-13,1.950050336109964e-15,0.0,-1.9956611003441304e-11,6.316868000039703e-14,0.0
119.0,-1.5772870040448956e-13,2.0864533709068126e-15,0.0,-1.5772870040448956e-13,2.0864533709068126e-15,0.0,-2.0114339703845792e-11,6.525513337130384e-14,0.0
120.0,-1.674454947395483e-13,2.233426153327684e-15,0.0,-1.674454947395483e-13,2.233426153327684e-15,0.0,-2.028178519858534e-11,6.748855952463153e-14,0.0
121.0,-1.7784284921534824e-13,2.3916865761127343e-15,0.0,-1.7784284921534824e-13,2.3916865761127343e-15,0.0,-2.0459628047800688e-11,6.988024610074426e-14,0.0
122.0,-1.889602913012732e-13,2.5619944731593114e-15,0.0,-1.889602913012732e-13,2.5619944731593114e-15,0.0,-2.0648588339101962e-11,7.244224057390357e-14,0.0
123.0,-2.008393028278702e-13,2.745153672069275e-15,0.0,-2.008393028278702e-13,2.745153672069275e-15,0.0,-2.0849427641929834e-11,7.518739424597285e-14,0.0
124.0,-2.1352339765760174e-13,2.9420141271699247e-15,0.0,-2.1352339765760174e-13,2.9420141271699247e-15,0.0,-2.1062951039587436e-11,7.812940837314277e-14,0.0
125.0,-2.2705820171913535e-13,3.153474135693306e-15,0.0,-2.2705820171913535e-13,3.153474135693306e-15,0.0,-2.1290009241306573e-11,8.128288250883608e-14,0.0
126.0,-2.414915354559174e-13,3.380482639813035e-15,0.0,-2.414915354559174e-13,3.380482639813035e-15,0.0,-2.153150077676249e-11,8.466336514864911e-14,0.0
127.0,-2.5687349872821097e-13,3.624041616272397e-15,0.0,-2.5687349872821097e-13,3.624041616272397e-15,0.0,-2.17883742754907e-11,8.828740676492151e-14,0.0
128.0,-2.7325655822022716e-13,3.8852085565708975e-15,0.0,-2.7325655822022716e-13,3.8852085565708975e-15,0.0,-2.206163083371093e-11,9.21726153214924e-14,0.0
