time,chief_r_x,chief_r_y,chief_r_z,chief_v_x,chief_v_y,chief_v_z,deputy_r_x,deputy_r_y,deputy_r_z,deputy_v_x,deputy_v_y,deputy_v_z,deputy_rho_x,deputy_rho_y,deputy_rho_z,deputy_rho_dot_x,deputy_rho_dot_y,deputy_rho_dot_z
5479.0,4839.066190441821,-2812.405804567063,-7401.009470449939,2.785196129954608,5.4740409266819325,1.1389783963748792,4813.962524880747,-2841.5836725233903,-7428.967892137894,2.790020059022263,5.4623201707870885,1.1190763762558567,18.051621574701567,-39.268590531284126,-19.882960105847925,-0.004068546417899669,-0.019917085460053684,-0.0034524750437207067
5480.0,4841.850179059449,-2806.93106243894,-7399.868645697866,2.78278072858688,5.475442958515162,1.1426712348518637,4816.751351213269,-2836.12064801354,-7427.846973265176,2.7876322316279767,5.463728482008149,1.1227614983510465,18.04754998764151,-39.288504960114274,-19.886407321973397,-0.0040746281751709995,-0.019911771021840968,-0.0034419563295700335
5481.0,4844.631751145456,-2801.4549193924927,-7398.724127726233,2.7803630666045884,5.476842762968167,1.1463648353368687,4819.537788597332,-2830.6562162935747,-7426.722368883003,2.7852421619931875,5.465134590658058,1.1264473950122071,18.043472318577866,-39.308414069777385,-19.889844015277898,-0.004080710424061277,-0.019906447126425156,-0.003431429401977223
5482.0,4847.410904438902,-2795.977377656189,-7397.575915773506,2.7779431433566506,5.478240337864842,1.1500591968812852,4822.321834790369,-2825.190379567144,-7425.594078217269,2.7828498494671057,5.466538494578708,1.1301340653194545,18.039388567025554,-39.32831785081356,-19.893270177544412,-0.004086793153068417,-0.01990111376729626,-0.00342089425170748
5483.0,4850.187636678197,-2790.4984394606745,-7396.424009079101,2.7755209581923417,5.47963568102688,1.1537543185344417,4825.103487549165,-2819.723140040058,-7424.462100494789,2.780455293399273,5.467940191609775,1.1338215083508727,18.035298732508934,-39.348216293756174,-19.896685800544308,-0.004092876350659108,-0.019895770937972006,-0.0034103508695190266
5484.0,4852.961945601099,-2785.0181070387735,-7395.268406883385,2.7730965104612983,5.481028790273776,1.1574501993436,4827.882744629853,-2814.254499920286,-7423.326434943301,2.7780584931395667,5.469339679588723,1.1375097231825102,18.03120281456655,-39.36810938913096,-19.90009087604177,-0.004098960005267459,-0.01989041863200516,-0.0033997992461615007
5485.0,4855.733828944714,-2779.5363826254925,-7394.1091084276795,2.7706697995135205,5.482419663422824,1.1611468383539512,4830.659603787915,-2808.7844614179635,-7422.1870807914665,2.7756594480381995,5.470736956350802,1.1411987088883748,18.027100812747072,-39.387997127458206,-19.90348539579009,-0.004105044105297041,-0.019885056842975972,-0.0033892393723782143
5486.0,4858.503284445504,-2774.0532684580216,-7392.946112954262,2.768240824699375,5.483808298289117,1.164844234608612,4833.434062778186,-2803.3130267453903,-7421.044037268875,2.7732581574457256,5.472132019729044,1.1448884645404303,18.022992726609306,-39.40787949925231,-19.906869351534766,-0.004111128639119482,-0.019879685564496104,-0.003378671238904422
5487.0,4861.270309839275,-2768.5687667757375,-7391.779419706368,2.7658095853695985,5.485194692685542,1.1685423871486202,4836.206119354849,-2797.8401981170346,-7419.897303606047,2.7708546207130405,5.473524867554265,1.1485789892085925,18.018878555726932,-39.427756495019786,-19.91024273501199,-0.0041172135950754,-0.01987430479021097,-0.003368094836468185
5488.0,4864.034902861188,-2763.0828798202037,-7390.609027928191,2.763376080875299,5.486578844422784,1.1722412950129304,4838.97577127144,-2792.3659777495345,-7418.74687903443,2.768448837191385,5.4749154976550605,1.1522702819607247,18.014758299682605,-39.447628105261806,-19.913605537947287,-0.004123298961473933,-0.019868914513794904,-0.003357510155790167
5489.0,4866.797061245755,-2757.5956098351753,-7389.434936864888,2.7609403105679604,5.48796075130932,1.1759409572384107,4841.743016280846,-2786.8903678617016,-7417.5927627864085,2.766040806232347,5.4763039078578055,1.155962341862634,18.0106319580727,-39.46749432047353,-19.916957752058437,-0.004129384726594246,-0.019863514728955055,-0.0033469171875854966
5490.0,4869.556782726837,-2752.1069590665998,-7388.257145762582,2.7585022737994445,5.489340411151421,1.1796413728598385,4844.507852135306,-2781.4133706745215,-7416.4349540953,2.7636305271878645,5.477690095986654,1.159655167978067,18.006499530504456,-39.4873551311422,-19.920299369051968,-0.004135470878682965,-0.019858105429430926,-0.003336315922561558
